Sample_Name,D10_(?m),D50_(?m),D90_(?m),Org._content_(%_loss_on_ignition),Flow_(VelX_avg.),Temp_Variation_(max-min_on_sample_date),Temp_Max,Temp_Min_,Temp_Mean_,Max_Depth_,Stdev_Depth_
P10B,42860.84,78667.76,159012.62,0.01,-0.01,2.46,18.35,16.01,17.13,0.90,0.18
P10S,49.86,594.61,5659.96,0.07,-0.01,2.46,18.35,16.01,17.13,0.90,0.18
P1B,16000.00,32000.00,105887.06,0.69,0.03,5.32,21.37,16.05,18.34,0.31,0.08
P1S,115.15,431.16,1459.61,0.01,0.03,5.32,21.37,16.05,18.34,0.31,0.08
P2S,117.52,534.33,3389.91,0.02,0.04,5.05,21.13,16.08,18.30,0.51,0.13
P3B,17659.31,72357.32,181220.63,0.01,-0.01,4.89,20.97,16.08,18.23,0.39,0.14
P3S,183.69,444.05,922.89,0.02,-0.01,4.89,20.97,16.08,18.23,0.39,0.14
P4B,169.41,6003.61,72052.47,0.01,0.05,4.75,20.85,16.11,18.20,0.21,0.08
P4S,111.70,445.46,6516.61,0.03,0.05,4.75,20.85,16.11,18.20,0.21,0.08
P5B,4285.73,34964.26,113138.31,0.00,0.02,3.77,20.73,16.96,19.18,0.63,0.13
P5S,111.77,338.84,2660.43,0.04,0.02,3.77,20.73,16.96,19.18,0.63,0.13
P6B,16000.00,38381.03,175340.84,0.01,-0.03,3.03,20.21,17.18,18.52,0.28,0.08
P6S,63.21,205.11,553.27,0.01,-0.03,3.03,20.21,17.18,18.52,0.28,0.08
P7B,37947.33,94051.01,182943.44,0.01,0.00,3.01,20.09,17.08,18.44,0.47,0.14
P7S,179.62,921.24,5713.05,0.01,0.00,3.01,20.09,17.08,18.44,0.47,0.14
P8B,20142.45,75378.93,183273.44,0.01,0.02,2.97,20.02,16.99,18.33,0.27,0.11
P8S,107.73,500.60,13676.02,0.03,0.02,2.97,20.02,16.99,18.33,0.27,0.11
P9S,128.89,515.32,4237.17,0.08,0.00,2.65,18.64,16.09,17.31,0.58,0.11
